,endTime,artistName,trackName,msPlayed
2165,2021-03-20 20:29,Sum 41,Fat Lip,4064
2166,2021-03-20 20:29,blink-182,Dammit,165373
2167,2021-03-20 20:29,Simple Plan,Addicted,21926
2168,2021-03-20 20:33,Jimmy Eat World,Sweetness,1913
2169,2021-03-20 20:33,Lustra,Scotty Doesn't Know,24672
2170,2021-03-20 20:33,New Found Glory,My Friends Over You,220200
2171,2021-03-20 20:33,Jimmy Eat World,The Middle,2581
2172,2021-03-20 20:34,The All-American Rejects,Dirty Little Secret,2581
2173,2021-03-20 20:37,Paramore,Ignorance,218626
2174,2021-03-20 20:40,Paramore,crushcrushcrush,189373
2175,2021-03-20 20:44,Bowling For Soup,1985,193000
2176,2021-03-20 20:47,The Ataris,The Boys of Summer,15357
2177,2021-03-20 20:47,Panic! At The Disco,I Write Sins Not Tragedies,186634
2178,2021-03-20 20:51,Rise Against,Savior,242280
2179,2021-03-20 20:54,Fall Out Boy,"This Ain't A Scene, It's An Arms Race",212040
2180,2021-03-20 20:55,The All-American Rejects,"Swing, Swing",19357
2181,2021-03-20 20:55,Sum 41,In Too Deep,768
2182,2021-03-21 22:57,Sum 41,Still Waiting,12741
2183,2021-03-22 00:27,Not Another D&D Podcast,Eldermourne - Ep. 17: Monsters of the Mountain  ,6407168
2184,2021-03-22 04:14,Mayday Parade,Jamie All Over,216000
2185,2021-03-22 04:17,All Time Low,"Dear Maria, Count Me In",182826
2186,2021-03-22 04:20,My Chemical Romance,I'm Not Okay (I Promise),186480
2187,2021-03-22 04:23,Panic! At The Disco,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,200226
2188,2021-03-22 04:27,Taking Back Sunday,Cute Without The 'E' (Cut From The Team) - Remastered,212937
2189,2021-03-22 04:30,We The Kings,"Check Yes, Juliet",220146
2190,2021-03-22 04:35,Relient K,Be My Escape,240453
2191,2021-03-22 04:38,Paramore,Misery Business,211520
2192,2021-03-22 04:41,My Chemical Romance,Teenagers,161920
2193,2021-03-22 04:44,All Time Low,Weightless,198000
